Active season,Player,Team,Conference,Date,Position,Height,Weight,Age,Draft Year,Seasons in league,Season,Season short,Real_value
0,Micheal Ray Richardson,New Jersey Nets,,"Apr 14, 1985",PG,06-May,189,29,1978,6,1984-1985,1985,1
0,Derek Smith,Los Angeles Clippers,,"Apr 7, 1985",SG,06-Jun,205,23,1982,2,1984-1985,1985,1
0,Calvin Natt,Denver Nuggets,,"Apr 1, 1985",F,06-Jun,220,28,1979,5,1984-1985,1985,1
0,Kareem Abdul-Jabbar,Los Angeles Lakers,,"Mar 24, 1985",C,07-Feb,225,37,1969,15,1984-1985,1985,1
0,Larry Bird,Boston Celtics,,"Mar 17, 1985",SF,06-Sep,220,28,1978,5,1984-1985,1985,1
0,Darrell Griffith,Utah Jazz,,"Mar 10, 1985",SG,06-Apr,190,26,1980,4,1984-1985,1985,1
0,Sleepy Floyd,Golden State Warriors,,"Mar 3, 1985",PG,06-Mar,170,24,1982,2,1984-1985,1985,1
0,Mark Aguirre,Dallas Mavericks,,"Feb 24, 1985",SF,06-Jun,232,25,1981,3,1984-1985,1985,1
0,Magic Johnson,Los Angeles Lakers,,"Feb 17, 1985",PG,06-Sep,255,25,1979,5,1984-1985,1985,1
0,Dominique Wilkins,Atlanta Hawks,,"Feb 3, 1985",SF,06-Jul,200,25,1982,2,1984-1985,1985,1
0,Tom McMillen,Washington Bullets,,"Jan 27, 1985",PF,06-Nov,215,32,1974,9,1984-1985,1985,1
0,Michael Jordan,Chicago Bulls,,"Jan 20, 1985",SG,06-Jun,215,22,1984,0,1984-1985,1985,1
0,World B. Free,Cleveland Cavaliers,,"Jan 13, 1985",G,06-Feb,185,31,1975,9,1984-1985,1985,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
